headline,label
코스피 보합권 출발…코스닥 소폭 상승 (2보),부정확
"신영證 ""SK디앤디, 내년까지 양호한 실적…목표주가↑""",긍정
[코스닥(개장)] 전일보다 0.30%(2.55포인트) 내린 838.86포인트로 출발,부정확
"코스피, 1.01p(0.04%) 오른 2367.74(개장)",부정확
"[시황]코스피 2367.74(▲0.04%), 코스닥 838.86(▲0.30%), 원·달러 환율 1186.6원(▲1.5원) 개장",부정확
"코스피, 1.01p(0.04%) 오른 2367.74 출발, 원/달러 환율 1.5원 오른 1186.6원 출발",부정확
"“獨, 재표 회복세·저평가…증시 강세 전망”",긍정
"[업종공략] 드론, 광고, 제이씨현시스템",부정확
"코스피, 개장 초반 약보합…2,360대",부정확
"코스닥, 2.55p(0.30%) 오른 838.86(개장)",부정확
"웰바이오텍, 금영이엔지 지분 100% 350억에 인수…클린룸 사업 박차",부정확
[달러/원] 환율 1.5원 오른 1186.6원 출발,부정확
"와이솔, 3분기 기점으로 실적 회복 전망 ‘매수’-키움증권",부정확
"코스피, 전일대비 1.01p 오른 2367.34 출발 (0.04%↑)",긍정
"[코스피(개장)] 전일보다 0.04%(1.01포인트) 오른 2,367.74포인트로 출발",부정확
[코스피]오전9시1분 4.18포인트(0.18%) 내린 2362.55,부정확
[코스피] 1.01p(0.04%) 오른 2367.74 출발,부정확
[코스닥] 2.55p(0.30%) 오른 838.86 출발,부정확
"코스닥, 전일대비 2.55p 오른 838.86 출발(0.30%↑)",긍정
[코스닥]오전9시1분 1.58포인트(0.19%) 오른 837.89,부정확
"[특징주] 넥스트아이, 자회사 매각 소식에 급등세",긍정
코로나19 이후 글로벌CEO 최대 관심사는 '인력관리',부정확
"LG하우시스, 단열재 공장 증설에 1194억 투자",부정확
"""제2의 따상을 찾아서…"" 공모주펀드 품귀",긍정
`공모주 우선배정` 하이일드펀드 막차타볼까,부정확
코로나 악재 넘어 폭풍성장…`비대면` 진화한 하이투자證,긍정
`수출 한방에 연매출 70%` 한국카본 주가 ↑,긍정
"대한항공, 기내식 및 기내면세품 판매사업 한앤코18호에 양도",부정확
[표]유형별 펀드 자금 동향(8월 24일),부정확
[유가증권시장 공시] 상신브레이크,부정확
"KT, 금리 年1% 4억달러 외화채 발행",부정확
코로나 재확산에…외인 `바이오` 기관 `언택트`,부정확
"與 ""공매도 금지 6개월 연장""",부정확
`국민株`된 삼성전자…투자자 5명중 1명 보유,부정확
"하나금융 `BINGO 이벤트`, 미션완료땐 경품 응모기회",부정확
"대한항공, 기내식·기내면세품 판매 사업 9906억원에 양도",부정확
"동아엘텍, 우진기전 인수 우선협상대상자 선정",부정확
"대한항공, 한앤코18호에 기내식 사업 및 기내면세품 사업 양도",부정확
[장외주식] 노바셀테크놀로지 상승세,긍정
"한일현대시멘트, 한국단자공업 지분 3.48% 취득",부정확
"머스트자산운용, 태영건설 지분 4.61% 처분",부정확
'공매도 금지 연장' 무게…당국 이르면 이번주 발표,부정확
"한일현대시멘트, 한국단자공업 지분 3.5% 획득",긍정
[외환마감]미중 무역합의 불확실성 완화에…원·달러 4.0원↓,부정확
"[투자전략포럼2020]“미중 갈등은 상시 요소, 中신경제 주목해야”",부정확
"LG하우시스, 단열재 공장증설에 1200억원 투입",부정확
"[시그널] 전도연·수지 소속사 숲엔터테인먼트, 카카오에서 30억원 자금 수혈",부정확
폭등하는 미 주식 살까 말까…‘닷컴버블’과 다른 특이점,부정확
"AJ네트웍스, 반채운 공동대표 사의 표명",부정확
"한국투자증권, '제2회 뱅키스 대학생 모의투자대회' 개최",부정확
"한일현대시멘트, 한국단자공업 지분율 3.48% 취득",부정확
"AJ네트웍스, 윤규선·이현우 각자 대표 체제로 전환",부정확
AJ네트웍스 반채운 대표 사임...미국 법인 사업에 집중,부정확
"유진투자증권, 유진운용에 50억원 출자",부정확
몸값 껑충 뛴 삼성바이오 덕에 웃는 삼성물산,부정확
공매도 계속 금지한다 ···당국 이르면 내일 6개월 연장 발표,부정확
"[단독] '코스닥 알짜' 이노메트리, 이스트브릿지에 팔린다",부정확
"코스피, 사흘째 1%대 상승 마감…2360선 돌파",긍정
"금양, 70억 규모 사모 CB 발행 결정",부정확
"금양, 운양자금 조달 위해 70억원 규모 전환사채 발행",부정확
[Asia마감]코로나 감염자수 감소에 日 증시 강세,긍정
"증권플러스 비상장, 삼성증권과 현금·주식 증정 이벤트",부정확
"의료 AI 딥노이드, 빅데이터 프로큐라티오와 협업",부정확
"아세아, 20억 규모 자사주 취득 결정",부정확
"메디프론, 200억 규모 사모 CB 발행 결정",부정확
"코데즈컴바인, 마스크·의약품 판매업 사업목적 추가",부정확
IT 유니콘기업 줄줄이 미 증시서 기업공개,부정확
[표]코스피 기관/외국인 매매동향(8/25 3시30분),부정확
[표]코스닥 기관/외국인 매매동향(8/25 3시30분),부정확
"코데즈컴바인 ""마스크·의약품 등 제조 및 판매업, 사업목적 추가""",부정확
[표]거래소 주가지수선물·옵션시세표(8/25),부정확
[표]주가지수선물 투자자별 매매동향(8/25),부정확
"일진머티리얼즈, 허재명·양점식 각자 대표 체제 전환",부정확
"윤석현 ""100% 배상안 수용을""…라임펀드 판매사 압박",부정확
美 극장 재개장 소식에…영화 관련주 '들썩',부정확
오너 2세 경영권 분쟁 재점화…한국테크놀로지그룹 상한가,부정확
오늘의 증시 메모[8월 26일],부정확
경기민감株 '대장'으로 떠오른 자동차株,부정확
"동아엘텍·선익시스템 컨소시엄, 우진기전 인수 우선협상대상자 선정",부정확
[표]증시주변 자금동향 (8/24),부정확
장 중 기업공시[8월 25일],부정확
"신송산업, 차입금 상환 위해 계열사로부터 54억7400만원 빌려",부정확
[표]25일 채권시장 종합 - 금리동향,부정확
[표] 코스피200지수 옵션 시세 (8월 25일),부정확
중남미·아세안까지…플랫폼 기업이 '시총 1위',긍정
"아세아, 주가안정 위해 자사주 매입",부정확
라임피해자의 호소? 여론압박?...대신證 사모펀드 특위 참고자료 '논란',부정
"신한금융투자, 신한플러스 CMA 특판 금리 이벤트 실시",부정확
"'코스닥 알짜' 이노메트리, 이스트브릿지에 팔린다",부정확
공매도 금지 '단계적 연장'으로 가나,부정확
LNG 보냉재 만드는 한국카본…몰려드는 일감에 주가도 쑥쑥,부정확
"증권사 '지원 실탄' 늘린다?…증권금융, 유상증자 '만지작'",부정확
"KT, '역대 최저 금리' 달러채…4억弗 규모 발행",부정
"신송산업, 차입근 상환 위해 계열사로부터 54억7400만원 빌려",부정확
9월3일 하루에만 6곳 수요예측…다음달 상장기업 대거 몰려,부정확
[표] 코스피200지수 선물 시세 (8월 25일),부정확
[표]금·국채선물·달러선물 시세(8월 25일),부정확
[장마감] 코스피 사흘 연속 1% 상승하며 2370 육박,부정확
"[공시]선익시스템, 우진기전 인수 컨소시엄에 참여",부정확
'자기자본 유지의무 위반' GRS투자자문 영업 정지 3월,부정
"[TF매매동향] 외국인, '네이버' 사고 '현대차' 팔았다",부정확
"하나금융투자, 국내주식 대상 '빙고' 이벤트 실시",부정확
[올댓차이나] 중국 증시 혼조 마감…상하이지수 0.36%↓,부정
"외국인 매수세에 코스피 2400 재진입? ""아직 변수 남았다""",부정확
[표]채권 수익률 현황(8월 25일),부정확
"김병욱 정무위서 ""연내 대주주 범위 확대 유예해야""",부정확
[시그널] 암 진단 전문회사 바이오다인 코스닥 상장 추진,긍정
"사학연금, 임원과 간부직원 대상 갑질근절 위한 '청렴리더' 교육",부정확
"SK바이오팜이 터트린 공모주 '대박', 카카오게임즈가 이어갈까",긍정
"선익시스템 ""우진기전 인수 컨소시엄에 참여""",부정확
"코스피, 외국인 매수세에 사흘째 1%대 상승…2400선 재진입?",부정확
매미급 태풍 '바비' 북상 소식에…폐기물처리株 뛰었다,부정확
"자비스, 2Q 영업손실 1.6억원…적자전환",부정확
"유진증권, 유진자산운용 대상으로 50억원 출자",부정확
"코로나 고용 쇼크, '10대 여성 알바'가 최대 피해",부정
"[마켓인사이트]동아엘텍, 전력기기 업체 우진기전 인수 우협 선정",부정확
초속 40m 매미급 태풍 북상…폐기물처리株 급등,긍정
"현대건설, 회사채 수요예측서 흥행 성공…건설업 부담↓",부정확
"코스피, 사흘째 1%대 상승…외국인 이틀째 '사자'",부정확
"일진머티리얼즈, 주재환 각자대표 사임에 양점식 각자대표 임명",부정확
"[마감] 외국인 '사자'에 코스피, 1%대 상승… 2360선 회복",부정확
"코스피, 외인 매수에 2,360선 회복…코스닥 2.5% 상승",부정확
개인 손실 부추기는 '공매도' 왜 폐지 못하나,부정확
"모나리자·웰크론, 마스크로 떴지만 실적은 '그다지'",부정확
"코스피, 2,360선 상승 마감",부정확
"코스피, 2,360선 돌파",긍정
"코스피, 2,360선 마감",부정확
"동아엘텍·선익시스템, 우진기전 인수 우선협상대상자 선정",부정확
"매년 반복되는 국가 재무제표 오류…""감사원이 의견 표명해야""",부정확
"'코스피·코스닥 상승, 원달러 환율은 하락'",부정
[코스피 마감]사흘째 1%대 상승…'2360선' 안착,부정확
기지개 켜는 외환 딜러,부정확
"코스피, 사흘째 1%대 상승…외국인 이틀째 '사자'(종합)",부정확
"[itM-마감시황] 코스피, 외인 견인에 2366.73 마감",부정확
사흘째 1% 상승 마감한 코스피,부정확
[fn마켓워치]중견 ICT 유지보수 '진두아이에스' 매각 본격화,부정확
"[마감시황]코스피, 외국인 매수세에 3거래일 연속 1%대 상승",부정확
원·달러 환율 소폭 하락,부정
"코스피, 美증시 훈풍·외인 매수…4거래일만에 2360 회복",부정확
"코스피 2,360선 돌파",긍정
"메드팩토, 임상 결과 발표 앞두고 14% 급등…코스닥 시총 14위",긍정
[시황종합] '외인 3일째 사자' 코스피 2360선 올라…코스닥 2.5%↑,긍정
"한국주식가치평가원, ‘글로벌 미래투자통찰 종합보고서’ 출간",부정확
"[마감시황]코스피, 외국인 매수세에 2360선 회복",부정확
상승 마감한 코스피,부정확
코스닥 2%대 상승 마감,부정확
"[마감시황]코로나19·미중분쟁 리스크 완화...코스피 2,360선 회복",긍정
"코스피, 상승 마감",부정확
[여의도 24시] 한국증권금융이 증자로 고심하는 까닭은,부정확
[코스닥 마감]외인·기관 '사자'…2% 넘게 올라 830선,긍정
"성도경 비나텍 대표 ""친환경차에 슈퍼캡 탑재 예정…시장 열릴 것""",부정확
"""외국인 또 샀다""…코스피, 3거래일째 상승해 2360선",부정확
"외국인 매수로 코스피 2360선 안착…코스닥 2%대 상승, 830선 마감",부정확
코스피 상승 마감,부정확
코스닥 상승 마감,부정확
"[TF시황] 국내증시 견고한 오름세…코스피, 2360선 마감",긍정
몰려드는 일감에 한국카본 주가 쑥쑥,부정확
[표]IPO·장외 주요 종목 시세(8월 25일),부정확
[여의도 24시]한국증권금융이 증자로 고심하는 까닭은,부정확
"[특징주] 한국테크놀로지그룹, '경영권 갈등' 증폭에 상한가",부정
기아차 '영업용 전기차 배터리' 보증 연장···업계 처음,부정확
4거래일간 上 3번..진원생명과학 시총 1조 돌파,긍정
미중 무역대화 소식에 원/달러 환율 하락 마감,부정
"코스피, 3거래일 연속 1%대 상승 마감…외국인 홀로 '사자'",부정확
"비피도, 바이오 소재개발 및 아토피 스킨케어 화장품 사업화 국책과제 선정",부정확
"[투자전략포럼2020]""바이오 테마주 득세…옥석 가려야""",부정확
"선익시스템, 전력 솔루션 전문업체 우진기전 인수 컨소시엄에 참여",부정확
"[올댓차이나] 臺증시, 뉴욕증시 강세·TSMC 호재에 0.88% 상승 마감",긍정
중남미·아세안 '토종' 플랫폼 기업의 반란,부정확
"코스피, 외국인 매수에 1.5%대 급등 마감…코스닥도 2.5% 치솟아",긍정
"[환율마감] 원/달러 환율, 4.0원 내린 1185.1원",부정확
"제이엘케이, 美국립과학원회 학술지 논문 발표…""OLED로 뇌세포 반응 조절""",부정확
[마감]국채선물 보합..112.17 0틱,부정확
[마감]지수선물 상승..314.25(+3.55p),부정확
[표]유가증권·코스닥 투자주체별 매매동향(8월 25일),부정확
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 25일),부정확
"아라케어, 새로운 의료용전동침대 상품 선보여",긍정
"미래산업, SK하이닉스와 35억원 규모 반도체 검사 장비 공급 계약 체결",긍정
"디지캡, 비대면 시대에 맞춘 온라인 교육 솔루션 제공",긍정
"日증시, 코로나19 치료제·백신 기대에 강세…닛케이지수 1.35%↑",긍정
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 25일),부정확
[마감]프로그램 54억 매수우위,긍정
중남미·아세안 ’토종‘ 플랫폼 기업의 반란,부정확
"[시황]코스피 2366.73(▲1.58%), 코스닥 836.31(▲2.52%), 원·달러 환율 1185.1원(▼4원) 마감",부정확
[비트코인 지금] 국내외 비트코인 내림세...1370만원·1만1680달러 선,부정확
[투자전략포럼2020]코로나에 저금리 고착…다시보자 金·배당株,부정확
"데일리블록체인, 국내 `운행제한 통합관제센터` 고도화 사업 수주",긍정
"웹젠 신작 ‘R2M’, 첫 인상 ‘클래식 MMORPG 감성’",부정확
"[특징주] 만도, 나사와 인공호흡기 개발 소식에 상승 마감(종합)",부정확
"케어랩스 ""자회사 어피어, 건강기능식품 추천 서비스 `#영양제를 부탁해` 론칭""",부정확
"디지캡, 비대면 시대 맞이 온라인 교육 솔루션 실시",긍정
"수젠텍, 美 코로나 검사 바이오사와 코로나19 중화항체 진단키트 진출 MOU",긍정
"코스피, 사흘째 1% 상승 마감…2,360선 돌파",긍정
코스피 1.5% 올라 2360선 마감…코스닥 2.5% 급등(2보),긍정
"그리티, `2020 원더데이`로 68억원 매출 달성…전년比 37%↑",긍정
"파멥신, 삼성바이오로직스와 PMC-403 위탁개발생산 계약 체결",긍정
"코스닥, 20.57p(2.52%) 오른 836.31 마감",부정확
[코스피] 36.90p(1.58%) 오른 2366.73 마감,부정확
"코스피, 36.90p 오른 2366.73 마감(1.58%↑)",긍정
[코스닥] 20.57p(2.52%) 오른 836.31 마감,부정확
"코스닥, 20.57p 오른 836.31 마감(2.52%↑)",긍정
[달러/원] 환율 4.0원 내린 1185.1원 마감,부정확
"[시그널] FI 손바뀜 겪은 우진기전, 동아엘텍 새 주인으로",부정확
[코스닥] 20.57p(2.52%) 오른 836.31(장종료),부정확
미국 5개월 만에 극장 재개장…영화관주 주목,긍정
[코스닥(마감)] 20.57포인트(2.52%) 오른 836.31 마감,부정확
"[스팟]코스닥, 20.57p(2.52%) 오른 836.31 마감",부정확
[마감]코스닥 기관 1100억 순매수,부정확
[마감]코스닥 개인 1341억 순매도,부정확
[마감]코스닥 외국인 343억 순매수,부정확
[마감]코스닥 상승..836.31(+2.52%),부정확
"코스피, 36.90p(1.58%) 오른 2366.73 마감",부정확
"[코스피(마감)] 36.90포인트(1.58%) 오른 2,366.73 마감",부정확
"코스피, 36.90p(1.58%) 오른 2366.73 마감, 원/달러 환율 4.0원 내린 1185.1원 마감",부정확
"[외환] 원/달러 환율 4.0원 내린 1,185.1원(마감)",부정확
"[스팟]코스피, 36.90p(1.58%) 오른 2366.73 마감",부정확
"[코스피] 36.90p(1.58%) 오른 2,366.73(장종료)",부정확
[마감]환율 하락..1185.1(-4원),부정
자동차는 어떻게 반도체를 누르고 경기민감주 대장이 됐나,부정확
[마감]코스피 상승..2366.73(+1.58%),부정확
[마감]코스피 개인 857억 순매도,부정확
[마감]코스피 기관 953억 순매도,부정확
[마감]코스피 외국인 1475억 순매수,부정확
"하강하던 환율, 코로나에 제동…다시 1200원 넘어서나",부정확
"유니슨, 최대주주 도시바→아네모이로 변경",부정확
'임금교섭도 사회적 거리두기' 현대차 노사 27일부터 화상으로,부정확
"딥노이드, '프로큐라티오'와 공동사업계약 체결",긍정
[표]증시 주변 자금 동향(8월 24일),부정확
“땡큐 동학 개미”...10개 운용사 2분기 실적 약 50% 껑충,부정확
"금지 연장 가닥 잡힌 공매도.. 이번엔 '쪼개기 연장',VS. '단계적 재개'",부정확
"금투협, 신탁업무 이해 과정 개설",부정확
[특징주] 삼성중공우 상한가…이상급등 재현?,긍정
"미래산업, SK하이닉스와 반도체 검사장비 공급계약",부정확
[투자의 창]인플레이션과의 전쟁은 시작됐다,부정확
"유니슨, 최대주주 아네모이로 변경",부정확
"미래산업, 35억 규모 반도체 검사장비 공급계약",부정확
"미래산업, SK하이닉스에 35억 규모 반도체 검사장비 공급",부정확
"삼기오토모티브, 전기차·배터리 사업 분할…""핵심사업 성장""",긍정
달러-엔 106.020엔(15시09분 현재),부정확
[마켓인사이트]'재매각' 이스타항공 오늘 첫미팅... 기업회생보다 매각에 주력,부정확
공매도 금지 연장 가능성 '솔솔'···동학개미 기대감은 '쑥쑥',긍정
"MBN 노조 ""알짜 빼돌리는 부동산 사업 분할 중단하라""",부정
"숨통 트인 금호타이어, 금융활용 재개 ""8월 급여 정상 지급""",부정확
"신한금융투자, CMA 특판 금리 이벤트",부정확
"윤석헌 금감원장 ""라임펀드 판매사, 100% 배상안 받아들여라""",부정확
"[TF특징주] 신일제약, '덱사메타손' 관련주로 급부상…14%↑",긍정
"삼성·현대重, 2600억 규모 수주 소식에 주가 상승",긍정
"NH투자증권, 공모 ELS 4종 모집",부정확
"[공시]홈센타홀딩스, 에이치씨군위산업 자회사로 편입",부정확
"[itM-특징주] 삼성중공우, 또 상한가…삼성重 초대형 에탄운반선 수주에 급등",긍정
"외국계IB-국내 증권사, 코스피 목표치 줄상향",부정확
[이데일리 초대석]성대영 “이중정 등 핵심역량 강화…주주에게 보답하는 기업될 것”,부정확
"6월 결산 포시에스, 전년 영업익 47억원…전년比 4.4%↓",부정
"NH투자증권, ELS 4종 모집",부정확
순익은 늘었지만 ROE는 뒷걸음…한투·한화·메리츠 '급락',부정
"[특징주] 삼성중공우, 삼성중공업 초대형 에탄운반선 수주에 상한가",긍정
"코로나 재확산 공포에 외인은 바이오, 기관은 언택트 비중",부정확
대규모 입주 앞둔 ‘경산 하양지구’...미분양 털고 웃돈 형성,부정확
'아마존 비싸서 못 샀다면'…중남미·아세안의'아마존'은 어떨까,부정확
공매도 금지 연장 '대세'…관건은 전부냐 아니면 홍콩처럼 일부냐,긍정
"딥노이드, 의료 빅데이터 분석기업 ‘프로큐라티오’와 공동사업계약 체결",긍정
'중국판 배민' 주가 치솟는데...'더 간다 vs 너무 올라' 고민되네,부정확
美 원유 ETF 'USO' 피소 위기…삼성운용 ETF는?,부정확
[시그널] 우리은행·SBI그룹도 반한 보안 업체 '에버스핀' 특례상장 추진,긍정
카카오게임즈에 설레는 투심..'따상' 이어질까,긍정
"[시그널] KT, 글로벌 금융위기 후 최저 금리로 4억弗 외화채 발행 성공",부정
"[머니팁]NH투자증권, 공모 ELS 4종 모집",부정확
'카카오게임즈' 내일(26일)부터 수요예측…제 2의 SK바이오팜 될까?,부정확
"신성이엔지, 277억 규모 공사 수주",긍정
"[스톡why] 비트갤럭시아1호, '기업가치 평가' 적정했나",부정확
약해진 코로나 테마주 상승세...다음 주도주는?,긍정
"미래에셋대우, 조기상환형 ELS 등 투자상품 6종 760억원 규모로 공모",부정확
"[공시]상신브레이크, 7일간 브레이크 패드 제조 전면 중단",부정
"상신브레이크, 다음 달 7일 동안 브레이크 패드 제조 중단",부정
국내 주식 `소수점 매매` 도입…`동학개미` 화력 증강되나,부정확
조현아의 변호사 찾아간 한국타이어 장남…경영권 갈등 증폭,부정
"상신브레이크, 전 공장 생산중단",부정
베어링운용이 진단한 코로나19 이후 中유망 테마는?,부정확
"DBC, 국내 '운행제한 통합관제센터' 고도화 사업 수주",긍정
"[특징주] 삼성중공우, 삼성중공업 초대형 에탄운반선 2척 수주에 '상한가'",긍정
[여의도TMI]‘메디콕스’로 간판 바꾼 중앙오션…“메디톡스 짝퉁 아닙니다”,부정확
"[공시]신성이엔지, 277억원 규모 공급계약 체결",긍정
코스닥기업 바이오 사업 진출...믿을 수 있나,긍정
"포시에스, 지난해 영업익 48억…전년비 4.4%↓",부정
"미래에셋대우, 조기상환형 ELS 등 6종 판매",부정확
'외인 순매수' 코스피 2360선 올라…코스닥 2% 상승,부정확
"사학연금, 경기시청자미디어센터와 ‘시니어 팩트체크 기자단’ 운영",부정확
"[공시]포시에스, 지난해 순이익 51억원…전년比 171%↑",긍정
"홈센타홀딩스 “에이치씨군위산업, 자회사에 편입 및 유형자산 취득계약 체결”",긍정
"[특징주]한국테크놀로지그룹, 후계 구도 갈등 본격화에 '급등'",부정확
"김동민 제이엘케이 대표, OLED 빛·뇌세포 반응 관련 논문 발표",부정확
"TS트릴리온, ‘TZ무기자차데일리선크림’ 새롭게 출시했다",긍정
"상신브레이크, 전 공장서 7일간 브레이크 패드 제조 중단",부정
"피씨엘, 총 1.3억원 규모 의료기기 공급계약 체결",긍정
"ELS, 마진콜 쇼크 5개월…얼어붙은 투자심리 회복 조짐",부정확
코로나에 참치캔 '불티'...실적 못따라가는 동원산업 주가,긍정
"유테크, 코로나19 예방치료제 美 FDA 긴급사용승인 신청…승인 즉시 제품 출시",긍정
"유테크, 코로나19 예방치료제 美FDA 긴급사용승인 신청 ""승인 즉시 제품 출시""",긍정
"[올댓차이나] 日기린, 호주 자회사 중국 멍뉴기업에 매각계약 해지",부정
"코로나 우려에도 견고한 증시, 코스피 1%대 상승…코스닥 830선 회복",부정
[부고] 이도현(DB금융투자 FICC영업1팀장)씨 부친상,부정확
한국테크놀로지그룹 '형제의 난' 발발…장중 상한가,부정확
"[특징주] 한국테크놀로지그룹, 경영권 분쟁 재점화에 상한가",부정확
"코스닥, 기관 매수에 2% 가까이 상승…830선 돌파",긍정
한국타이어 경영권 분쟁 재점화에 주가 '급등',긍정
"박정윤 코디 사장 ""색조 업계 '파우더 맛집'으로 키울 것""",긍정
코로나에 불티나게 팔린 참치캔···동원산업 주가는 왜?,긍정
"GC녹십자랩셀, 국제학회서 NK세포치료제 핵심 기술 첫 공개",부정확
한국타이어 경영권 분쟁 재점화에 주가 '上',긍정
"디에이테크놀로지, 이종욱 대표 체제 전환…""하반기 재도약""",부정확
